"binomial","acc_name"
"Pacifastacus leniusculus","Pacifastacus leniusculus"
"Gasterosteus aculeatus","Gasterosteus aculeatus"
"Oncorhynchus clarkii","Oncorhynchus clarkii"
"Gila bicolor_mohavensis","Siphateles bicolor mohavensis"
"Cottus cognatus","Cottus cognatus"
"Plethodon glutinosus","Plethodon glutinosus"
"Rana virgatipes","Lithobates virgatipes"
"Ambystoma macrodactylum","Ambystoma macrodactylum"
"Litoria gracilenta","Ranoidea gracilenta"
"Linepithema humile","Linepithema humile"
"Gemma gemma","Gemma gemma"
"Desmognathus fuscus","Desmognathus fuscus"
"Eurycea bislineata","Eurycea bislineata"
"Hyla labialis","Dendropsophus molitor"
"Lithobates sylvaticus","Lithobates sylvaticus"
"Atrichum undulatum","Atrichum undulatum"
"Pseudacris triseriata","Pseudacris triseriata"
"Galaxias fasciatus","Galaxias fasciatus"
"Galaxias maculatus","Galaxias maculatus"
"Retropinna retropinna","Retropinna retropinna"
"Eurycea longicauda","Eurycea longicauda"
"Eurycea lucifuga","Eurycea lucifuga"
"Ambystoma maculatum","Ambystoma maculatum"
"Eurycea multiplicata","Eurycea multiplicata"
"Etheostoma cragini","Etheostoma cragini"
"Pogonichthys macrolepidotus","Pogonichthys macrolepidotus"
"Sphenomorphus incognitus","Sphenomorphus incognitus"
"Xantusia vigilis","Xantusia vigilis"
"Petrosaurus mearnsi","Petrosaurus mearnsi"
"Protobothrops mucrosquamatus","Protobothrops mucrosquamatus"
"Thamnophis elegans","Thamnophis elegans"
"Bufo boreas","Anaxyrus boreas"
"Rana pipiens","Lithobates pipiens"
"Poeciliopsis occidentalis","Poeciliopsis occidentalis"
"Spea hammondii","Spea hammondii"
"Hyla chloris","Ranoidea chloris"
"Hyla gracilenta","Ranoidea gracilenta"
"Hyla lesueuri","Ranoidea lesueurii"
"Hyla glauerti","Litoria fallax"
"Hyla rubella","Litoria rubella"
"Hyla rothi","Litoria rothii"
"Limnodynastes peroni","Limnodynastes peroni"
"Limnodynastes peronii","Limnodynastes peronii"
"Hyla caerulea","Ranoidea caerulea"
"Cyclorana brevipes","Ranoidea brevipes"
"Crinia signifera","Crinia signifera"
"Hyla ewingi","Litoria ewingii"
"Hyla peroni","Litoria peronii"
"Limnodynastes dorsalis","Limnodynastes dorsalis"
"Pseudophryne bibroni","Pseudophryne bibroni"
"Pseudophryne bibronii","Pseudophryne bibronii"
"Limnodynastes tasmaniensis","Limnodynastes tasmaniensis"
"Hyla aurea","Ranoidea aurea"
"Hyla phyllochroa","Ranoidea phyllochroa"
"Crinia victoriana","Geocrinia victoriana"
"Agosia chrysogaster","Agosia chrysogaster"
"Catostomus clarkii","Pantosteus clarkii"
"Gila elegans","Gila elegans"
"Gila intermedia","Gila robusta"
"Gila robusta","Gila robusta"
"Rhinichthys cobitis","Tiaroga cobitis"
"Xyrauchen texanus","Xyrauchen texanus"
"Anolis distichus","Anolis distichus"
"Anolis sagrei","Anolis sagrei"
"Pterois volitans","Pterois volitans"
"Sardinops sagax","Sardinops sagax"
"Apogon novemfasciatus","Apogon novemfasciatus"
"Asellus aquaticus","Asellus aquaticus"
"Dascyllus aruanus","Dascyllus aruanus"
"Campostoma anomalum","Campostoma anomalum"
"Orconectes rusticus","Faxonius rusticus"
"Gibbonsia montereyensis","Gibbonsia montereyensis"
"Plethodon cinereus","Plethodon cinereus"
"Elliptio complanata","Elliptio complanata"
"Etheostoma flabellare","Etheostoma flabellare"
"Etheostoma caeruleum","Etheostoma caeruleum"
"Saduria entomon","Saduria entomon"
"Palaemon elegans","Palaemon elegans"
"Palaemon serratus","Palaemon serratus"
"Palaemonetes varians","Palaemon varians"
"Crangon crangon","Crangon crangon"
"Pandalus montagui","Pandalus montagui"
"Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis"
"Plethodon jordani","Plethodon jordani"
"Plethodon yonahlossee","Plethodon yonahlossee"
"Pseudocaranx dentex","Pseudocaranx dentex"
"Pagrus major","Pagrus major"
"Oplegnathus fasciatus","Oplegnathus fasciatus"
"Rana clamitans","Lithobates clamitans"
"Ambystoma tigrinum","Ambystoma tigrinum"
"Anaxyrus fowleri","Anaxyrus fowleri"
"Lithobates palustris","Lithobates palustris"
"Lithobates pipiens","Lithobates pipiens"
"Rhinella marina","Rhinella marina"
"Scaphiopus holbrookii","Scaphiopus holbrookii"
"Anaxyrus americanus","Anaxyrus americanus"
"Anaxyrus woodhousii","Anaxyrus woodhousii"
"Eleutherodactylus cundalli","Eleutherodactylus cundalli"
"Eleutherodactylus gossei","Eleutherodactylus gossei"
"Eleutherodactylus johnstonei","Eleutherodactylus johnstonei"
"Eleutherodactylus planirostris","Eleutherodactylus planirostris"
"Gastrophryne carolinensis","Gastrophryne carolinensis"
"Hypsiboas faber","Boana faber"
"Physalaemus cuvieri","Physalaemus cuvieri"
"Pleurodema diplolister","Pleurodema diplolister"
"Pseudacris regilla","Pseudacris regilla"
"Rhinella icterica","Rhinella icterica"
"Hyla versicolor","Dryophytes versicolor"
"Lithobates virgatipes","Lithobates virgatipes"
"Rhinella granulosa","Rhinella granulosa"
"Acris crepitans","Acris crepitans"
"Anaxyrus terrestris","Anaxyrus terrestris"
"Desmognathus quadramaculatus","Desmognathus quadramaculatus"
"Notophthalmus viridescens","Notophthalmus viridescens"
"Ambystoma jeffersonianum","Ambystoma jeffersonianum"
"Ascaphus truei","Ascaphus truei"
"Buergeria japonica","Buergeria japonica"
"Dendropsophus labialis","Dendropsophus molitor"
"Eleutherodactylus portoricensis","Eleutherodactylus portoricensis"
"Lithobates berlandieri","Lithobates berlandieri"
"Litoria aurea","Ranoidea aurea"
"Litoria caerulea","Ranoidea caerulea"
"Litoria fallax","Litoria fallax"
"Litoria freycineti","Litoria freycineti"
"Litoria lesueuri","Ranoidea lesueurii"
"Litoria peronii","Litoria peronii"
"Litoria rubella","Litoria rubella"
"Mixophyes fasciolatus","Mixophyes fasciolatus"
"Neobatrachus pictus","Neobatrachus pictus"
"Pseudacris crucifer","Pseudacris crucifer"
"Rhyacotriton variegatus","Rhyacotriton variegatus"
"Xenopus laevis","Xenopus laevis"
"Necturus maculosus","Necturus maculosus"
"Anaxyrus boreas","Anaxyrus boreas"
"Anaxyrus canorus","Anaxyrus canorus"
"Anaxyrus cognatus","Anaxyrus cognatus"
"Anaxyrus compactilis","Anaxyrus compactilis"
"Anaxyrus debilis","Anaxyrus debilis"
"Anaxyrus exsul","Anaxyrus exsul"
"Anaxyrus nelsoni","Anaxyrus nelsoni"
"Cophixalus ornatus","Cophixalus ornatus"
"Crinia parinsignifera","Crinia parinsignifera"
"Cryptobranchus alleganiensis","Cryptobranchus alleganiensis"
"Desmognathus ochrophaeus","Desmognathus ochrophaeus"
"Geocrinia laevis","Geocrinia laevis"
"Geocrinia victoriana","Geocrinia victoriana"
"Hyla walkeri","Dryophytes walkeri"
"Incilius alvarius","Incilius alvarius"
"Incilius marmoreus","Incilius marmoreus"
"Incilius mazatlanensis","Incilius mazatlanensis"
"Leptodactylus melanonotus","Leptodactylus melanonotus"
"Lithobates palmipes","Lithobates palmipes"
"Litoria bicolor","Litoria bicolor"
"Litoria chloris","Ranoidea chloris"
"Litoria citropa","Ranoidea citropa"
"Litoria ewingii","Litoria ewingii"
"Litoria phyllochroa","Ranoidea phyllochroa"
"Litoria rothii","Litoria rothii"
"Litoria verreauxii","Litoria verreauxii"
"Pseudacris cadaverina","Pseudacris cadaverina"
"Pseudophryne corroboree","Pseudophryne corroboree"
"Rana boylii","Rana boylii"
"Rana cascadae","Rana cascadae"
"Rana chensinensis","Rana chensinensis"
"Rana pretiosa","Rana pretiosa"
"Rhaebo haematiticus","Rhaebo haematiticus"
"Smilisca fodiens","Smilisca fodiens"
"Smilisca baudinii","Smilisca baudinii"
"Tlalocohyla smithii","Tlalocohyla smithii"
"Odontophrynus occidentalis","Odontophrynus occidentalis"
"Triturus dobrogicus","Triturus dobrogicus"
"Hyperolius viridiflavus","Hyperolius viridiflavus"
"Achirus mazatlanus","Achirus mazatlanus"
"Ambassis ambassis","Ambassis ambassis"
"Anabas testudineus","Anabas testudineus"
"Leuresthes sardina","Leuresthes sardina"
"Lipophrys pholis","Lipophrys pholis"
"Lipophrys trigloides","Lipophrys trigloides"
"Bovichtus variegatus","Bovichtus variegatus"
"Carpiodes cyprinus","Carpiodes cyprinus"
"Catostomus commersonii","Catostomus commersonii"
"Catostomus latipinnis","Catostomus latipinnis"
"Catostomus occidentalis","Catostomus occidentalis"
"Catostomus platyrhynchus","Pantosteus platyrhynchus"
"Hypentelium nigricans","Hypentelium nigricans"
"Moxostoma robustum","Moxostoma robustum"
"Ambloplites rupestris","Ambloplites rupestris"
"Archoplites interruptus","Archoplites interruptus"
"Lepomis cyanellus","Lepomis cyanellus"
"Lepomis gibbosus","Lepomis gibbosus"
"Lepomis macrochirus","Lepomis macrochirus"
"Lepomis megalotis","Lepomis megalotis"
"Micropterus dolomieu","Micropterus dolomieu"
"Micropterus floridanus","Micropterus floridanus"
"Micropterus punctulatus","Micropterus punctulatus"
"Micropterus salmoides","Micropterus salmoides"
"Pomoxis annularis","Pomoxis annularis"
"Pomoxis nigromaculatus","Pomoxis nigromaculatus"
"Chelmon rostratus","Chelmon rostratus"
"Astyanax bimaculatus","Astyanax bimaculatus"
"Geophagus brasiliensis","Geophagus brasiliensis"
"Oreochromis mossambicus","Oreochromis mossambicus"
"Pseudocrenilabrus multicolor","Pseudocrenilabrus multicolor"
"Pterophyllum scalare","Pterophyllum scalare"
"Clarias gariepinus","Clarias gariepinus"
"Clupea pallasii","Clupea pallasii"
"Cottus bairdii","Cottus bairdii"
"Cottus paulus","Cottus paulus"
"Abramis brama","Abramis brama"
"Alburnus chalcoides","Alburnus chalcoides"
"Carassius auratus","Carassius auratus"
"Carassius carassius","Carassius carassius"
"Catla catla","Gibelion catla"
"Chrosomus eos","Chrosomus eos"
"Chrosomus erythrogaster","Chrosomus erythrogaster"
"Chrosomus neogaeus","Chrosomus neogaeus"
"Clinostomus elongatus","Clinostomus elongatus"
"Couesius plumbeus","Couesius plumbeus"
"Ctenopharyngodon idella","Ctenopharyngodon idella"
"Cyprinella lutrensis","Cyprinella lutrensis"
"Cyprinella spiloptera","Cyprinella spiloptera"
"Danio rerio","Danio rerio"
"Gobio gobio","Gobio gobio"
"Hesperoleucus symmetricus","Hesperoleucus symmetricus"
"Hybognathus placitus","Hybognathus placitus"
"Hypophthalmichthys molitrix","Hypophthalmichthys molitrix"
"Lavinia exilicauda","Lavinia exilicauda"
"Lepidomeda copei","Lepidomeda copei"
"Leuciscus idus","Leuciscus idus"
"Luxilus chrysocephalus","Luxilus chrysocephalus"
"Luxilus cornutus","Luxilus cornutus"
"Mylopharodon conocephalus","Mylopharodon conocephalus"
"Notemigonus crysoleucas","Notemigonus crysoleucas"
"Notropis atherinoides","Notropis atherinoides"
"Notropis hudsonius","Notropis hudsonius"
"Notropis rubellus","Notropis rubellus"
"Notropis stramineus","Notropis stramineus"
"Notropis topeka","Notropis topeka"
"Orthodon microlepidotus","Orthodon microlepidotus"
"Pimephales notatus","Pimephales notatus"
"Pimephales promelas","Pimephales promelas"
"Ptychocheilus grandis","Ptychocheilus grandis"
"Rhinichthys atratulus","Rhinichthys atratulus"
"Rhinichthys osculus","Rhinichthys osculus"
"Rutilus rutilus","Rutilus rutilus"
"Scardinius erythrophthalmus","Scardinius erythrophthalmus"
"Semotilus atromaculatus","Semotilus atromaculatus"
"Siphateles bicolor","Siphateles bicolor"
"Squalius cephalus","Squalius cephalus"
"Hysterocarpus traskii","Hysterocarpus traskii"
"Engraulis japonicus","Engraulis japonicus"
"Esox masquinongy","Esox masquinongy"
"Fundulus heteroclitus","Fundulus heteroclitus"
"Pomatoschistus minutus","Pomatoschistus minutus"
"Ameiurus catus","Ameiurus catus"
"Ameiurus melas","Ameiurus melas"
"Ameiurus natalis","Ameiurus natalis"
"Ameiurus nebulosus","Ameiurus nebulosus"
"Ictalurus punctatus","Ictalurus punctatus"
"Halichoeres nigrescens","Halichoeres nigrescens"
"Notolabrus celidotus","Notolabrus celidotus"
"Lutjanus malabaricus","Lutjanus malabaricus"
"Lutjanus vitta","Lutjanus vitta"
"Monacanthus chinensis","Monacanthus chinensis"
"Dicentrarchus labrax","Dicentrarchus labrax"
"Morone americana","Morone americana"
"Morone chrysops","Morone chrysops"
"Morone saxatilis","Morone saxatilis"
"Moolgarda engeli","Valamugil engeli"
"Mugil cephalus","Mugil cephalus"
"Barbatula barbatula","Barbatula barbatula"
"Lepidonotothen squamifrons","Lepidonotothen squamifrons"
"Hypomesus transpacificus","Hypomesus transpacificus"
"Osmerus mordax","Osmerus mordax"
"Pangasius pangasius","Pangasius pangasius"
"Paralichthys californicus","Paralichthys californicus"
"Etheostoma nigrum","Etheostoma nigrum"
"Etheostoma spectabile","Etheostoma spectabile"
"Sander canadensis","Sander canadensis"
"Sander lucioperca","Sander lucioperca"
"Sander vitreus","Sander vitreus"
"Acanthoclinus littoreus","Acanthoclinus littoreus"
"Plotosus lineatus","Plotosus lineatus"
"Gambusia affinis","Gambusia affinis"
"Poecilia sphenops","Poecilia sphenops"
"Xiphophorus maculatus","Xiphophorus maculatus"
"Xiphophorus variatus","Xiphophorus variatus"
"Abudefduf saxatilis","Abudefduf saxatilis"
"Premnas biaculeatus","Premnas biaculeatus"
"Prochilodus lineatus","Prochilodus lineatus"
"Coregonus artedi","Coregonus artedi"
"Coregonus hoyi","Coregonus hoyi"
"Coregonus widegreni","Coregonus widegreni"
"Oncorhynchus apache","Oncorhynchus apache"
"Oncorhynchus gilae","Oncorhynchus gilae"
"Oncorhynchus mykiss","Oncorhynchus mykiss"
"Scatophagus argus","Scatophagus argus"
"Epinephelus tauvina","Epinephelus tauvina"
"Pygocentrus nattereri","Pygocentrus nattereri"
"Siganus canaliculatus","Siganus canaliculatus"
"Stenotomus chrysops","Stenotomus chrysops"
"Sphoeroides annulatus","Sphoeroides annulatus"
"Fundulus parvipinnis","Fundulus parvipinnis"
"Salmo salar","Salmo salar"
"Alosa pseudoharengus","Alosa pseudoharengus"
"Myrmecocystus depilis","Myrmecocystus depilis"
"Gillichthys mirabilis","Gillichthys mirabilis"
"Podacarus auberti","Podacarus auberti"
"Halozetes belgicae","Halozetes belgicae"
"Halozetes fulvus","Halozetes fulvus"
"Halozetes marinus","Halozetes marinus"
"Halozetes marionensis","Halozetes marionensis"
"Dasyatis sabina","Dasyatis sabina"
"Myro kerguelenensis","Myro kerguelenensis"
"Prinerigone vagans","Prinerigone vagans"
"Mya arenaria","Mya arenaria"
"Mulinia lateralis","Mulinia lateralis"
"Anolis roquet","Anolis roquet"
"Takydromus formosanus","Takydromus formosanus"
"Takydromus stejnegeri","Takydromus stejnegeri"
"Sphenomorphus taiwanensis","Sphenomorphus taiwanensis"
"Eremias multiocellata","Eremias multiocellata"
"Calathus melanocephalus","Calathus melanocephalus"
"Trimeresurus gracilis","Trimeresurus gracilis"
"Trimeresurus stejnegeri","Trimeresurus stejnegeri"
"Takydromus septentrionalis","Takydromus septentrionalis"
"Anguilla australis","Anguilla australis"
"Zoarces viviparus","Zoarces viviparus"
"Eleutherodactylus coqui","Eleutherodactylus coqui"
"Cyprinodon macularius","Cyprinodon macularius"
"Meda fulgida","Meda fulgida"
"Pomatoschistus microps","Pomatoschistus microps"
"Acartia tonsa","Acartia tonsa"
"Acartia clausi","Acartia clausi"
"Albula Vulpes","Albula Vulpes"
"Bathygobius fuscus","Bathygobius fuscus"
"Notothenia coriiceps","Notothenia coriiceps"
"Pagothenia borchgrevinki","Pagothenia borchgrevinki"
"Cancer pagurus","Cancer pagurus"
"Etheostoma blennioides","Etheostoma blennioides"
"Portunus pelagicus","Portunus pelagicus"
"Margarites helicinus","Margarites helicinus"
"Serripes groenlandicus","Serripes groenlandicus"
"Sardinops melanostictus","Sardinops melanostictus"
"Parapristipoma trilineatum","Parapristipoma trilineatum"
"Sillago japonica","Sillago japonica"
"Limnodynastes salmini","Limnodynastes salmini"
"Philoria frosti","Philoria frosti"
"Acipenser brevirostrum","Acipenser brevirostrum"
"Albula vulpes","Albula vulpes"
"Ambassis kopsii","Ambassis kopsii"
"Apogon dovii","Apogon dovii"
"Craterocephalus stercusmuscarum","Craterocephalus stercusmuscarum"
"Leuresthes tenuis","Leuresthes tenuis"
"Horabagrus brachysoma","Horabagrus brachysoma"
"Hypsoblennius gilberti","Hypsoblennius gilberti"
"Corydoras ehrhardti","Corydoras ehrhardti"
"Seriola quinqueradiata","Seriola quinqueradiata"
"Trachurus japonicus","Trachurus japonicus"
"Lates calcarifer","Lates calcarifer"
"Astyanax lineatus","Astyanax lineatus"
"Bryconamericus thomasi","Bryconamericus thomasi"
"Gymnocharacinus bergii","Gymnocharacinus bergii"
"Bujurquina vittata","Bujurquina vittata"
"Etroplus suratensis","Etroplus suratensis"
"Dorosoma cepedianum","Dorosoma cepedianum"
"Dorosoma petenense","Dorosoma petenense"
"Clinocottus analis","Clinocottus analis"
"Cottus carolinae","Cottus carolinae"
"Cottus gobio","Cottus gobio"
"Oligocottus maculosus","Oligocottus maculosus"
"Barbus barbus","Barbus barbus"
"Barilius bendelisis","Barilius bendelisis"
"Cirrhinus mrigala","Cirrhinus mrigala"
"Cyprinion macrostomum","Cyprinion macrostomum"
"Cyprinus carpio","Cyprinus carpio"
"Danio dangila","Danio dangila"
"Dionda diaboli","Dionda diaboli"
"Hypophthalmichthys nobilis","Hypophthalmichthys nobilis"
"Labeo rohita","Labeo rohita"
"Lepidomeda mollispinis","Lepidomeda mollispinis"
"Neolissochilus hexagonolepis","Neolissochilus hexagonolepis"
"Parabramis pekinensis","Parabramis pekinensis"
"Plagopterus argentissimus","Plagopterus argentissimus"
"Schizothorax kozlovi","Schizothorax kozlovi"
"Tinca tinca","Tinca tinca"
"Tor putitora","Tor putitora"
"Cyprinodon bovinus","Cyprinodon bovinus"
"Cyprinodon dearborni","Cyprinodon dearborni"
"Cyprinodon nevadensis","Cyprinodon nevadensis"
"Cyprinodon rubrofluviatilis","Cyprinodon rubrofluviatilis"
"Cyprinodon salinus","Cyprinodon salinus"
"Cyprinodon variegatus","Cyprinodon variegatus"
"Taeniura lymma","Taeniura lymma"
"Gobiomorphus basalis","Gobiomorphus basalis"
"Gobiomorphus cotidianus","Gobiomorphus cotidianus"
"Hypseleotris galii","Hypseleotris galii"
"Esox lucius","Esox lucius"
"Fundulus diaphanus","Fundulus diaphanus"
"Fundulus notatus","Fundulus notatus"
"Fundulus zebrinus","Fundulus zebrinus"
"Microgadus tomcod","Microgadus tomcod"
"Gobiesox strumosus","Gobiesox strumosus"
"Tomicodon humeralis","Tomicodon humeralis"
"Bathygobius ramosus","Bathygobius ramosus"
"Gobiosoma chiquita","Gobiosoma chiquita"
"Gobius paganellus","Gobius paganellus"
"Quietula y","Quietula y"
"Tridentiger bifasciatus","Tridentiger bifasciatus"
"Haemulon flavolineatum","Haemulon flavolineatum"
"Heteropneustes fossilis","Heteropneustes fossilis"
"Kuhlia sandvicensis","Kuhlia sandvicensis"
"Lota lota","Lota lota"
"Melanotaenia splendida","Melanotaenia splendida"
"Rhinomugil corsula","Rhinomugil corsula"
"Gobionotothen gibberifrons","Gobionotothen gibberifrons"
"Notothenia angustata","Notothenia angustata"
"Trematomus bernacchii","Trematomus bernacchii"
"Trematomus hansoni","Trematomus hansoni"
"Perccottus glenii","Perccottus glenii"
"Paralichthys lethostigma","Paralichthys lethostigma"
"Perca flavescens","Perca flavescens"
"Perca fluviatilis","Perca fluviatilis"
"Belonesox belizanus","Belonesox belizanus"
"Heterandria formosa","Heterandria formosa"
"Limia melanonotata","Limia melanonotata"
"Poecilia reticulata","Poecilia reticulata"
"Coregonus clupeaformis","Coregonus clupeaformis"
"Coregonus nasus","Coregonus nasus"
"Oncorhynchus gorbuscha","Oncorhynchus gorbuscha"
"Oncorhynchus keta","Oncorhynchus keta"
"Oncorhynchus kisutch","Oncorhynchus kisutch"
"Oncorhynchus nerka","Oncorhynchus nerka"
"Oncorhynchus tshawytscha","Oncorhynchus tshawytscha"
"Salmo trutta","Salmo trutta"
"Salvelinus alpinus","Salvelinus alpinus"
"Salvelinus confluentus","Salvelinus confluentus"
"Salvelinus fontinalis","Salvelinus fontinalis"
"Salvelinus namaycush","Salvelinus namaycush"
"Thymallus arcticus","Thymallus arcticus"
"Thymallus thymallus","Thymallus thymallus"
"Aplodinotus grunniens","Aplodinotus grunniens"
"Cynoscion nebulosus","Cynoscion nebulosus"
"Leiostomus xanthurus","Leiostomus xanthurus"
"Sciaenops ocellatus","Sciaenops ocellatus"
"Epinephelus fuscoguttatus","Epinephelus fuscoguttatus"
"Rypticus nigripinnis","Rypticus nigripinnis"
"Sillago sihama","Sillago sihama"
"Silurus glanis","Silurus glanis"
"Silurus meridionalis","Silurus meridionalis"
"Acanthopagrus latus","Acanthopagrus latus"
"Diplodus vulgaris","Diplodus vulgaris"
"Terapon jarbua","Terapon jarbua"
"Terapon theraps","Terapon theraps"
"Cyprinodon sp.1","Cyprinodon sp.1"
"Chirodica chalcoptera","Chirodica chalcoptera"
"Glossina pallidipes","Glossina pallidipes"
"Takydromus hsuehshaner","Takydromus hsuehshaner"
"Eleutherodactylus portoricensus","Eleutherodactylus portoricensus"
"Crinia parainsignifera","Crinia parainsignifera"
"Hyla alpina","Hyla alpina"
"Palirhoeus eatoni","Palirhoeus eatoni"
"Metacarcinus magister","Metacarcinus magister"
"Cryptopygus antarcticustravei","Cryptopygus antarcticustravei"
"Tullbergia bisetosa","Tullbergia bisetosa"
"Amphibalanus amphitrite","Amphibalanus amphitrite"
"Orchestia gammarellus","Orchestia gammarellus"
"Lithobates catesbeiana","Lithobates catesbeiana"
"Oryzias melastigma","Oryzias melastigma"
"Ostorhinchus aureus","Ostorhinchus aureus"
"Ostorhinchus novemfasciatus","Ostorhinchus novemfasciatus"
"Pseudobagrus vachellii","Pseudobagrus vachellii"
"Scleromystax barbatus","Scleromystax barbatus"
"Cottus tallapoosae","Cottus tallapoosae"
"Spinibarbus sinensis","Spinibarbus sinensis"
"Chelon subviridis","Chelon subviridis"
"Ellochelon vaigiensis","Ellochelon vaigiensis"
"Gymnocephalus cernua","Gymnocephalus cernua"
"Coregonus maraenoides","Coregonus maraenoides"
